# FieldAlongZ
#x y z t Bx By Bz Ex Ey Ez
0 0 900 0 0 0 2.56865 0 0 0 
0 0 910 0 0 0 2.60958 0 0 0 
0 0 920 0 0 0 2.65051 0 0 0 
0 0 930 0 0 0 2.69182 0 0 0 
0 0 940 0 0 0 2.73314 0 0 0 
0 0 950 0 0 0 2.77468 0 0 0 
0 0 960 0 0 0 2.81628 0 0 0 
0 0 970 0 0 0 2.85798 0 0 0 
0 0 980 0 0 0 2.89974 0 0 0 
0 0 990 0 0 0 2.94153 0 0 0 
0 0 1000 0 0 0 2.98334 0 0 0 
0 0 1010 0 0 0 3.02516 0 0 0 
0 0 1020 0 0 0 3.0669 0 0 0 
0 0 1030 0 0 0 3.10864 0 0 0 
0 0 1040 0 0 0 3.1502 0 0 0 
0 0 1050 0 0 0 3.19175 0 0 0 
0 0 1060 0 0 0 3.23308 0 0 0 
0 0 1070 0 0 0 3.27432 0 0 0 
0 0 1080 0 0 0 3.31534 0 0 0 
0 0 1090 0 0 0 3.35616 0 0 0 
0 0 1100 0 0 0 3.39681 0 0 0 
0 0 1110 0 0 0 3.4371 0 0 0 
0 0 1120 0 0 0 3.47732 0 0 0 
0 0 1130 0 0 0 3.51698 0 0 0 
0 0 1140 0 0 0 3.55665 0 0 0 
0 0 1150 0 0 0 3.59564 0 0 0 
0 0 1160 0 0 0 3.63457 0 0 0 
0 0 1170 0 0 0 3.67293 0 0 0 
0 0 1180 0 0 0 3.71105 0 0 0 
0 0 1190 0 0 0 3.74873 0 0 0 
0 0 1200 0 0 0 3.78597 0 0 0 
0 0 1210 0 0 0 3.82292 0 0 0 
0 0 1220 0 0 0 3.8592 0 0 0 
0 0 1230 0 0 0 3.89539 0 0 0 
0 0 1240 0 0 0 3.93066 0 0 0 
0 0 1250 0 0 0 3.96594 0 0 0 
0 0 1260 0 0 0 4.00026 0 0 0 
0 0 1270 0 0 0 4.03448 0 0 0 
0 0 1280 0 0 0 4.06793 0 0 0 
0 0 1290 0 0 0 4.10104 0 0 0 
0 0 1300 0 0 0 4.13361 0 0 0 
0 0 1310 0 0 0 4.1656 0 0 0 
0 0 1320 0 0 0 4.19727 0 0 0 
0 0 1330 0 0 0 4.22811 0 0 0 
0 0 1340 0 0 0 4.25886 0 0 0 
0 0 1350 0 0 0 4.28854 0 0 0 
0 0 1360 0 0 0 4.31824 0 0 0 
0 0 1370 0 0 0 4.34689 0 0 0 
0 0 1380 0 0 0 4.37541 0 0 0 
0 0 1390 0 0 0 4.40313 0 0 0 
0 0 1400 0 0 0 4.43048 0 0 0 
0 0 1410 0 0 0 4.45729 0 0 0 
0 0 1420 0 0 0 4.48348 0 0 0 
0 0 1430 0 0 0 4.50937 0 0 0 
0 0 1440 0 0 0 4.53441 0 0 0 
0 0 1450 0 0 0 4.55939 0 0 0 
0 0 1460 0 0 0 4.5833 0 0 0 
0 0 1470 0 0 0 4.60723 0 0 0 
0 0 1480 0 0 0 4.63017 0 0 0 
0 0 1490 0 0 0 4.65298 0 0 0 
0 0 1500 0 0 0 4.67506 0 0 0 
0 0 1510 0 0 0 4.69677 0 0 0 
0 0 1520 0 0 0 4.718 0 0 0 
0 0 1530 0 0 0 4.73865 0 0 0 
0 0 1540 0 0 0 4.75904 0 0 0 
0 0 1550 0 0 0 4.77865 0 0 0 
0 0 1560 0 0 0 4.79822 0 0 0 
0 0 1570 0 0 0 4.81681 0 0 0 
0 0 1580 0 0 0 4.83543 0 0 0 
0 0 1590 0 0 0 4.85319 0 0 0 
0 0 1600 0 0 0 4.87082 0 0 0 
0 0 1610 0 0 0 4.88783 0 0 0 
0 0 1620 0 0 0 4.90449 0 0 0 
0 0 1630 0 0 0 4.92077 0 0 0 
0 0 1640 0 0 0 4.93651 0 0 0 
0 0 1650 0 0 0 4.95207 0 0 0 
0 0 1660 0 0 0 4.96691 0 0 0 
0 0 1670 0 0 0 4.98176 0 0 0 
0 0 1680 0 0 0 4.99575 0 0 0 
0 0 1690 0 0 0 5.00976 0 0 0 
0 0 1700 0 0 0 5.02305 0 0 0 
0 0 1710 0 0 0 5.03621 0 0 0 
